Bank Name,BIN,PAN Length,Card Brand,isOld
Al Bank Al Saudi Al Fransi,588845,18,mada / Mastercard co-branded,Yes
Al Bank Al Saudi Al Fransi,440647,16,mada / Visa co-branded,Yes
Al Bank Al Saudi Al Fransi,440795,16,mada / Visa co-branded,Yes
Al Bank Al Saudi Al Fransi,446404,16,mada / Visa co-branded,Yes
Al Bank Al Saudi Al Fransi,457865,16,mada / Visa co-branded,Yes
Al Bank Al Saudi Al Fransi,968208,16,mada,Yes
Al Bank Al Awwal,588846,18,mada / Mastercard co-branded,Yes
Al Bank Al Awwal,539931,16,mada / Mastercard co-branded,Yes
Al Bank Al Awwal,558848,16,mada / Mastercard co-branded,Yes
Al Bank Al Awwal,557606,16,mada / Mastercard co-branded,Yes
Al Bank Al Awwal,968210,16,mada,Yes
Al Bilad Bank,636120,16,mada / Mastercard co-branded ,Yes
Al Bilad Bank,417633,16,mada / Visa co-branded,Yes
Al Bilad Bank,468540,16,mada / Visa co-branded,Yes
Al Bilad Bank,468541,16,mada / Visa co-branded,Yes
Al Bilad Bank,468542,16,mada / Visa co-branded,Yes
Al Bilad Bank,468543,16,mada / Visa co-branded,Yes
Al Bilad Bank,968201,16,mada,Yes
Al Bilad Bank,446393,16,mada / Visa co-branded,Yes
Al Rajhi Banking & Inv. Corp.,588847,19,mada / Mastercard co-branded ,Yes
Al Rajhi Banking & Inv. Corp.,400861,16,mada / Visa co-branded,Yes
Al Rajhi Banking & Inv. Corp.,409201,16,mada / Visa co-branded,Yes
Al Rajhi Banking & Inv. Corp.,458456,16,mada / Visa co-branded,Yes
Al Rajhi Banking & Inv. Corp.,484783,16,mada / Visa co-branded,Yes
Al Rajhi Banking & Inv. Corp.,968205,19,mada,Yes
Al Rajhi Banking & Inv. Corp.,462220,16,mada / Visa co-branded,Yes
Arab National Bank,588848,19,mada / Mastercard co-branded ,Yes
Arab National Bank,455036,16,mada / Visa co-branded,Yes
Arab National Bank,968203,19,mada,Yes
Arab National Bank,486094,16,mada / Visa co-branded,Yes
Arab National Bank,486095,16,mada / Visa co-branded,Yes
Arab National Bank,486096,16,mada / Visa co-branded,Yes
Bank Al-Jazira,504300,16,mada / Mastercard co-branded,Yes
Bank Al-Jazira,440533,16,mada / Visa co-branded,Yes
Bank Al-Jazira,489318,16,mada / Visa co-branded,Yes
Bank Al-Jazira,489319,16,mada / Visa co-branded,Yes
Bank Al-Jazira,445564,16,mada / Visa co-branded,Yes
Bank Al-Jazira,968211,16,mada,Yes
Emirates Bank International,410685,16,mada / Visa co-branded,Yes
Alinma Bank,432328,16,mada / Visa co-branded,Yes
Alinma Bank,428671,16,mada / Visa co-branded,Yes
Alinma Bank,428672,16,mada / Visa co-branded,Yes
Alinma Bank,428673,16,mada / Visa co-branded,Yes
Alinma Bank,968206,16,mada,Yes
Alinma Bank,446672,16,mada / Visa co-branded,Yes
Alinma Bank,543357,16,mada / Mastercard co-branded,Yes
National Bank of Kuwait,431361,16,mada / Visa co-branded,Yes
National Bank Of Bahrain,604906,16,mada / Mastercard co-branded,Yes
National Bank Of Bahrain,521076,16,mada / Mastercard co-branded,Yes
National Commercial Bank,588850,19,mada / Mastercard co-branded,Yes
National Commercial Bank,968202,19,mada,Yes
National Commercial Bank,529415,16,mada / Mastercard co-branded,Yes
National Commercial Bank,535825,16,mada / Mastercard co-branded,Yes
National Commercial Bank,543085,16,mada / Mastercard co-branded,Yes
National Commercial Bank,524130,16,mada / Mastercard co-branded,Yes
National Commercial Bank,554180,16,mada / Mastercard co-branded,Yes
National Commercial Bank,549760,16,mada / Mastercard co-branded,Yes
Riyad Bank,588849,18,mada / Mastercard co-branded,Yes
Riyad Bank,968209,16,mada,Yes
Riyad Bank,524514,16,mada / Mastercard co-branded,Yes
Riyad Bank,529741,16,mada / Mastercard co-branded,Yes
Riyad Bank,537767,16,mada / Mastercard co-branded,Yes
Riyad Bank,535989,16,mada / Mastercard co-branded,Yes
Riyad Bank,536023,16,mada / Mastercard co-branded,Yes
Riyad Bank,513213,16,mada / Mastercard co-branded,Yes
Saudi American Bank,585265,18,mada / Mastercard co-branded,Yes
Saudi American Bank,588983,18,mada / Mastercard co-branded,Yes
Saudi American Bank,588982,16,mada / Mastercard co-branded,Yes
Saudi American Bank,589005,16,mada / Mastercard co-branded,Yes
Saudi American Bank,508160,16,mada / Mastercard co-branded,Yes
Saudi American Bank,531095,16,mada / Mastercard co-branded,Yes
Saudi American Bank,530906,16,mada / Mastercard co-branded,Yes
Saudi American Bank,532013,16,mada / Mastercard co-branded,Yes
Saudi British Bank,588851,17 / 19,mada / Mastercard co-branded,Yes
Saudi British Bank,605141,19,mada / Mastercard co-branded,Yes
Saudi British Bank,968204,16,mada,Yes
Saudi British Bank,422817,16,mada / Visa co-branded,Yes
Saudi British Bank,422818,16,mada / Visa co-branded,Yes
Saudi British Bank,422819,16,mada / Visa co-branded,Yes
Saudi British Bank,428331,16,mada / Visa co-branded,Yes
Saudi Investment Bank,483010,16,mada / Visa co-branded,Yes
Saudi Investment Bank,483011,16,mada / Visa co-branded,Yes
Saudi Investment Bank,483012,16,mada / Visa co-branded,Yes
Saudi Investment Bank,589206,16,mada / Mastercard co-branded,Yes
Saudi Investment Bank,968207,16,mada,Yes
Gulf International Bank,419593,16,mada / Visa co-branded,Yes
Gulf International Bank,439954,16,mada / Visa co-branded,Yes